timestamp,frame_idx,source,raw_count,ema,median,entered,left
2025-12-07T10:08:19.325080,1,..\images_test\overlay_000053.jpg,331.7779,331.7779,331.7779,0,0
2025-12-07T10:08:20.592695,2,..\images_test\overlay_000054.jpg,365.0760,343.4322,348.4269,0,0
2025-12-07T10:08:21.741485,3,..\images_test\overlay_000055.jpg,341.2393,342.6647,341.2393,0,0
2025-12-07T10:08:22.900921,4,..\images_test\overlay_000056.jpg,348.9933,344.8797,345.1163,0,0
